"A4SSDK Plugin SDK"
"FlexJson Library"
"Flipboard BottomSheet SDK"
"FloatingGroupExpandableListView Library"
"FlowLayouts"
"Flurry SDK"
"FlycoDialog"
"FlycoTabLayout"
"Fmod"
"Forthline Cling"
"Frankiesardo Icepick"
"Franmontiel Persistent Cookie Jar"
"Freemarker"
"Ftp4j Library"
"Full Screen ANE for Adobe AIR"
"Fyber"
"Fyber(SponsorPay)"
"GameAnalytics Android SDK"
"GestureImageView polites.com"
"Getbase Android"
"Gigya's Socialize API"
"Glide"
"Glispa Connect (formerly Avocarrot) SDK"
"Glympse API library for Android"
"GNU Clisp"
"GNU KAWA"
"GNU Qexo"
"GNU Xmlat"
"Goodbarber"
"Google Admob"
"Google Ads"
"Google Analytics"
"Google Android Net"
"Google APDFViewer"
"Google Appinventor"
"Google Core Libraries (3rd Party)"
"Google Core Libraries for Java 6+"
"Google FlatBuffers Java API"
"Google GCM"
"Google GData"
"Google Gson"
"Google Internationalization"
"Google Maps Utils"
"Google Mobile Services"
"Google Play Games Services plugin"
"Google Play SDK"
"Google Roboguice"
"Google Tag Manager"
"Google VR SDK for Unity"
"Google's WebRTC Android Library"
"Gradle HockeyApp Plugin"
"Green Robot EventBus"
"Green Robot GreenDao"
"GreenDroid"
"Guice"
"H6ah4i Android Advanced RecyclerView"
"H6ah4i Android Material Shadow 9-Patch"
"H6ah4i Android VerticalSeekBar"
"hamcrest"
"HelloCharts Library For Android"
"Heyzap"
"Heyzap Mediation SDK"
"HoloColorPicker"
"HorizontalListView"
"Hotline Android SDK"
"HP SDK for Android"
"htmlCleaner"
"HttpClient Android repackage buildscript"
"httpclientandroidlib"
"Huawei Android SDK"
"HyprMX Ad SDK"
"I2P Android Client Library"
"iAd Plugin Pro"
"Ideaworks3D MarmaladeSDK"
"igaworks"
"igexin Getuiext"
"igexin SDK"
"IJKPlayer"
"Image Chooser library"
"ImagePicker Android"
"ImageViewZoom"
"Immersion's Haptic SDK For Android"
"Immersive Mode for Android"
"Ini4J"
"Ini4J Library"
"InkPageIndicator"
"InLocoMedia Android SDK"
"Inmobi"
"Inneractive"
"Instabug Android SDK"
"Integral Ad Science APIs"
"Intercom Android Composer"
"Intercom SDK"
"International Components for Unicode"
"IronSource"
"ITextPdf Kit"
"J256"
"Jackson Json-processor"
"JakeWharton Disk LRU Cache"
"JakeWharton Process Phoenix"
"JakeWharton RxBinding"
"JakeWharton RxRelay"
"Jasonkostempski"
"JAudiotagger"
"Java CIFS Client Library API"
"Java Excel API"
"Java Native Lua"
"Java Secure Channel"
"JavaBeans Activation Framework (JAF)"
"JavaX Annotation API"
"JavaX jmDNS library"
"JavaX Mail API"
"JavaX Servlet API"
"Jaxen"
"JazzyViewPager"
"JBoss Javassist"
"JCodec For Android"
"JDBM"
"Jdeferred"
"Jiguang SDKs"
"jjoe64 GraphView"
"Joanzapata Iconify"
"Joanzapata PDFView"
"Joda Convert"
"Joda Time Android Library"
"Jpardogo GoogleProgressBar"
"Jpush"
"JSON In Java"
"JSON Small and Fast Parser"
"JSON Web Token SDK"
"Jsonpath"
"JsonPath API"
"JSONWebToken Impl"
"Jsoup"
"JTS Topology Suite"
"Jude EasyRecyclerView"
"Jumio"
"Junit"
"JXMPP SDK"
"Kankan Wheel View"
"Kaopiz KProgressHUD"
"Karumi Dexter"
"KeepSafe ReLinker"
"KeepSafe TapTargetView"
"KenBurnsView"
"Keyboard Surfer"
"KIDOZ SDK"
"Kids Web Services Mobile SDK For Android"
"KIIP Mobile Ads"
"KObjects"
"Kochava Android SDK"
"Kotlin Collection"
"Kotlin IO"
"Kotlin Reflect"
"Kount's SDK for Android"
"ksoap2"
"Kxml2"
"Kyleduo SwitchButton"
"Laravel Persian Validation"
"Larva Labs SVG-Android"
"Layer SDK"
"Leadbolt Ads SDK"
"Leadbolt SDK"
"LeakCanary Android"
"Leolin ShortcutBadger"
"libGDX"
"LibVLC"
"Lightweight Stream API"
"LINE SDK starter"
"LinkedIn API"
"ListViewAnimations"
"LitePal Android library"
"litesuits android-lite-orm"
"Localytics - Mobile App Marketing Analytics"
"Logback"
"Lombok Plugin"
"Lootsie Aerserv"
"Lottie Xamarin or MvvmCross"
"lsjwzh RecyclerViewPager Library"
"Lucasr TwoWayView"
"MagicCamera"
"MagicIndicator"
"mahua Afinal"
"Makovkastar FloatingActionButton"
"Malinskiy SuperRecyclerView"
"Mapbox Maps SDK For Android"
"Mapsforge API"
"Mariotti Card Library"
"Mariotti ChangelogLib"
"Markdown4j"
"Material EditText Library"
"Material Range Bar"
"Material Ripple Layout"
"Material Spinner Library"
"MaterialDateTimePicker"
"MaterialDraer Library"
"MaterialIntroView"
"Materialish Progress"
"Materialize Library"
"MaterialLoadingProgressBar"
"MaterialNavigationDrawer"
"MaterialProgressBar"
"MaterialSearchView"
"MaterialTabs"
"MCGoliath SDK"
"Mediabrix Android SDK"
"Meizu Push Internal"
"Meizu Push SDK"
"Messagepack"
"Metadata Extractor "
"Metalev Multi Touch"
"Microsoft MapPoint"
"Mikhaellopez CircularImageView"
"Mikhaellopez CircularProgressBar"
"Milkman plugins"
"Millennial Media"
"Minidns"
"Mixpanel User Analytics"
"Moat Analytics"
"Mob SMS SDK"
"Mob Toolkit"
"Mobeta ListView"
"mobfox"
"MobFox Android SDK"
"MobileAppTracking Android SDK"
"Mobvista SDK"
"MoEngage SDK"
"MOGAanywhere"
"Mono for Android"
"MoPub"
"Moxy MVP library for Android"
"Mozilla Rhino"
"Mozilla Universal Detector"
"Mp4parser"
"Mparticle Android SDK"
"myTarget Advertising Platform"
"Nanigans - SafeDK"
"NativeX Android SDK"
"navasmdc MaterialDesignLibrary"
"NetCipher: Secured Networking for Android"
"Netease Nim Android SDK"
"Netty All In One"
"Netty Handler"
"NetworkBench NewLens Android Agent SDK"
"NewAndroidTwitter"
"newrelic"
"Nexage SourceKit-MRAID For Android"
"Nielsen Android SDK"
"Nine Old Androids"
"Nokia In-App Payment"
"NoNonsense FilePicker Library"
"Nordicsemi DFU Library"
"Nordicsemi NRF Logger API"
"Nostra13 Image Loading"
"Nostra13 Universal Image Loader"
"Noveo Android Logger"
"NPM Synconset Imagepicker"
"NTAF Maven PlugIn"
"Nuance Speech Kit Library"
"NumberPickerView"
"Objenesis"
"OCTO Robospice"
"OkHttp okio Framework"
"OKHttp3.0"
"OnBarCode SDK"
"One Key Share"
"ONE store IAP SDK"
"oneAudience SDK"
"OneSignal Android SDK"
"Onevcat UniWebView"
"Ooyala SDK"
"Opencsv"
"OpenCV"
"OpenStreetMap-Tools"
"OPFIab Library for Android"
"Orhanobut DialogPlus"
"Orhanobut Hawk 2.0"
"Orhanobut Logger "
"Outline Games"
"Overscroll Bouncy Android"
"PaperDB:Fast NoSQL Data Storage For Android"
"Parse Android"
"PartyTrack for Android"
"PayPal"
"PDFTron: PDF SDK"
"PhoneGap"
"PhoneGap/Cordova Social Sharing plugin"
"PhotoDraweeView"
"PhotoView"
"Picasso 2.1"
"PingStart Android Ads SDK"
"Pinyin4j"
"Pixplicity EasyPrefs"
"Plattysoft Leonids"
"PLDroidPlayer"
"Pltly Hianalytics"
"plusCubed Insets Dispatcher"
"PocketAds"
"Pollfish"
"PrettyTime"
"Progress Telerik AppBuilder Plugin"
"PSDev LicensesDialog"
"PullToRefresh"
"Pushwoosh SDK"
"Qiniu Android SDK Library"
"Qoppa Java PDF Library"
"Qt Everywhere Qt5"
"QuadFlask Color Picker"
"Quantcast Measure For Android"
"Rajawali Live Wallpaper Template"
"Realm DB"
"Recycler Bubble"
"RecyclerRefreshLayout"
"RecyclerView FastScroll"
"Retrofit Restful Library"
"Revmob"
"Rey Material"
"RFM Android SDK"
"Riskware/SneakFont!Android"
"Roboguice"
"RockerHieu Emojicon"
"ROME"
"roughike BottomBar"
"RoundCornerProgressBar"
"RoundedImageView"
"RxJava"
"Scribe Java Lib"
"SeattleClouds SDK"
"SecondFury Native Toolkit"
"SecurePreferences"
"SeekArc Library"
"Segment Android Analytics"
"Selectable Rounded Image View"
"SF JSON Library"
"Signpost Oauth"
"SilverMob SDK"
"Simonvt Android CalendarView"
"Simonvt Android DatePicker"
"Simonvt Android NumberPicker"
"Simonvt MenuDrawer"
"Simple Facebook SDK"
"Simple Framework Simple XML"
"Simple Rating Bar"
"SimpleCropView"
"Sina SSO"
"Skplanet SDK"
"SLF4J API Module"
"SlidingMenu"
"Smaato"
"Smack"
"Smack Extensions"
"Smart AdServer mobile SDK "
"Smart Location Library"
"SmartFoxServer"
"SmartTabLayout"
"Snackbar"
"SnakeYAML"
"Socket IO Client"
"SOOMLA Framework for Game"
"SourceForge Cardme VCard Library"
"SourceForge ZBar"
"Splunk MINT"
"Spoledge AAC Decoder"
"Spongy Castle"
"Sport Trackers Connector"
"Spring Framework"
"SpringSource Org Apache Oro"
"SQLCipher"
"SQLite Plugins"
"Square Dagger"
"Square Haha"
"Square JavaPoet"
"Square JavaWriter"
"Square Moshi"
"Square OkHttp"
"Square Otto"
"Square Picasso 2.7"
"Square Pollexor"
"Square Seismic"
"Square Tape"
"Square Wire"
"StartApp"
"StatisticsManager"
"Stericson RootTools"
"Sticky Headers RecyclerView"
"StickyGridHeaders"
"Stripe Android"
"StrongSwan VPN Client for Android"
"SubsamplingScaleImageView"
"Sufficientlysecure Donations"
"Sufficientlysecure HTML TextView"
"SUN Activation"
"SUN JNA"
"Sun Mail"
"SuperSLiM Library"
"Supersonic Android SDK"
"Supersonic MediationSDK(Abandoned)"
"SweetAlertDialog Library"
"Swelen Android SDK"
"SwipeBackLayout"
"SwipeMenuListView"
"SwipyRefreshLayout Library"
"Swrve Android SDK"
"TagSoup"
"Taobao SDK"
"TapDaq Android SDK"
"Tapjoy"
"Tappx"
"TastyToast For Android"
"Tealium Android Repository"
"TedPermission"
"Telegram APIs"
"Tencent QQ Theme"
"Tencent SDKs"
"TendDaTa"
"Testin Analysis for Android"
"The Jboss Netty Project"
"ThinDownloadManager"
"ThoughtWorks XStream"
"ThreeTen Backport"
"Timroes AXMLRPC"
"Timroes EnhancedListView"
"Titanium ImageFactory Module"
"Titanium Map Module"
"Tkrefreshlayout"
"TnkAd SDK"
"Todd Davies ProgressWheel"
"TokenAutoComplete"
"ToxicBakery ViewPagerTransforms"
"Transitions Everywhere (AndroidX Transitions Library.)"
"Tune Marketing Console SDK"
"Tusdk for Android"
"Twitter"
"Twitter4J"
"Twotoasters Clusterkraf"
"Twotoasters JazzyListView"
"Twotoasters SectionCursorAdapter"
"Tyrantgit View Design ExplosionField"
"UC WebView SDK"
"UltimateRecyclerView"
"Umeng Analytics"
"Umeng Common"
"Umeng Message Push"
"Umeng Share for Facebook"
"Umeng Share for QQ"
"Umeng Socialize"
"Umeng U-push"
"Umeng U-push (Old version called agoo)"
"Unionpay SDKs"
"Unity3D"
"Unity3d Advertisement"
"Unity3D Android notification plugin"
"Unity3d plugins"
"Universal Image Loader"
"UpdateChecker Library"
"Urban Airship"
"UserVoice Android SDK"
"ut mini push sdk"
"UTNotifications"
"Varunest SparkButton"
"Vector Compat Library"
"Verizon Ads SDK"
"VerizonMedia Ad Platforms"
"Victor Loading"
"Videocache"
"Vieux OpenUDID"
"VK API Library"
"VMAX Unity Plugin for Android"
"Volley HTTP library"
"Vpon SDK"
"Vudroid PDF Reader"
"Vungle's Android SDK"
"WarDroid Color Panel View"
"Wasabeef Blurry"
"Wasabeef Glide Transformations"
"Wasabeef Picasso Transformations"
"Wasabeef Recyclerview Animators"
"WebIntent Android Plugin"
"Wefika Layout FlowLayout"
"Weibo"
"Wise Shark Studio SDK"
"Xiaomi GameCenter SDK"
"Xiaomi Mi Account SDK"
"Xiaomi SDK MiPush"
"Xiaomi UI"
"XIGNCODE3"
"XML Pull"
"Xunfei (iflytek) SDK"
"XUtils"
"XZ For Java"
"Yahoo Search SDK"
"Yalantis UCrop"
"Yandex Metrica Plugin"
"Yandex Mobile Ads"
"Yandex Runtime"
"Youth Banner for Android ImageView"
"YouTube Android Player API"
"YoYoGames GameMaker"
"Ypresto Android Transcoder"
"Zendesk APIs"
"Zendesk Chat SDK for Android"
"Zip4j"
"ZXing ('Zebra Crossing')"
